Customer_ID,Customer_Name,Email,Phone,Address
1,Customer_1,customer1@example.com,,Chicago
2,Customer_2,,123-456-7832,New York
3,Customer_3,customer3@example.com,(555) 234-5687,Miami
4,Customer_4,customer4@example.com,123-456-7874,Houston
5,Customer_5,customer5@test.org,(555) 234-5697,Los Angeles
6,Customer_6,customer6@test.org,(555) 234-5673,New York
7,Customer_7,customer7@test.org,123-456-7858,Miami
8,Customer_8,,9876543279,New York
9,Customer_9,,,Los Angeles
10,Customer_10,,,New York
11,Customer_11,customer11@test.org,9876543248,Seattle
12,Customer_12,customer12@example.com,(555) 234-5646,New York
13,Customer_13,customer13@test.org,(555) 234-5637,New York
14,Customer_14,,9876543221,Seattle
15,Customer_15,customer15@example.com,123-456-7886,Miami
16,Customer_16,,9876543259,New York
17,Customer_17,,123-456-7836,Los Angeles
18,Customer_18,customer18@example.com,,Miami
19,Customer_19,,(555) 234-5675,New York
20,Customer_20,customer20@test.org,123-456-7825,Houston
21,Customer_21,customer21@example.com,(555) 234-5627,Los Angeles
22,Customer_22,customer22@test.org,9876543223,Houston
23,Customer_23,customer23@example.com,,Seattle
24,Customer_24,customer24@example.com,123-456-7887,Los Angeles
25,Customer_25,customer25@example.com,9876543253,Chicago
26,Customer_26,customer26@example.com,9876543298,Houston
27,Customer_27,,123-456-7889,Houston
28,Customer_28,,(555) 234-5645,New York
29,Customer_29,customer29@example.com,9876543243,New York
30,Customer_30,,(555) 234-5637,Houston
31,Customer_31,customer31@test.org,9876543220,Miami
32,Customer_32,,9876543243,Houston
33,Customer_33,,(555) 234-5651,Los Angeles
34,Customer_34,,9876543257,Seattle
35,Customer_35,,9876543267,Los Angeles
36,Customer_36,,,New York
37,Customer_37,customer37@test.org,9876543246,Chicago
38,Customer_38,customer38@test.org,,Chicago
39,Customer_39,customer39@example.com,(555) 234-5668,Seattle
40,Customer_40,customer40@example.com,,Los Angeles
41,Customer_41,customer41@example.com,123-456-7888,New York
42,Customer_42,,(555) 234-5684,Miami
43,Customer_43,customer43@example.com,,Seattle
44,Customer_44,customer44@test.org,123-456-7851,Seattle
45,Customer_45,customer45@test.org,,Chicago
46,Customer_46,,9876543212,Los Angeles
47,Customer_47,,9876543270,Seattle
48,Customer_48,,(555) 234-5693,Houston
49,Customer_49,customer49@test.org,9876543268,Houston
50,Customer_50,customer50@example.com,,Seattle
51,Customer_51,customer51@example.com,123-456-7868,Seattle
52,Customer_52,customer52@test.org,,New York
53,Customer_53,customer53@test.org,123-456-7850,New York
54,Customer_54,customer54@example.com,(555) 234-5613,Houston
55,Customer_55,customer55@test.org,123-456-7846,Seattle
56,Customer_56,customer56@test.org,,Miami
57,Customer_57,customer57@example.com,,Seattle
58,Customer_58,customer58@test.org,123-456-7893,Chicago
59,Customer_59,,,Houston
60,Customer_60,,123-456-7857,New York
61,Customer_61,customer61@example.com,(555) 234-5690,Houston
62,Customer_62,,9876543218,Seattle
63,Customer_63,customer63@example.com,(555) 234-5671,Los Angeles
64,Customer_64,customer64@test.org,9876543238,Miami
65,Customer_65,,(555) 234-5672,New York
66,Customer_66,customer66@example.com,123-456-7859,New York
67,Customer_67,customer67@test.org,9876543255,Chicago
68,Customer_68,customer68@example.com,(555) 234-5626,New York
